DISTRIBUITORI UTILAJE AGRICOLE DIN BAZA ANAF
Total firme scanate: 2,778,122
Data sursa: D:\MEMORY\CLAUDE\OPT\AGRI_SCRAPERS\anaf_all_romania_full.csv

================================================================================
CAEN 4661 - WHOLESALE AGRICULTURAL MACHINERY (1369 firme)
================================================================================

277. TANASE V. FLORIN PERSOANĂ FIZICĂ AUTORIZATĂ | BRAŞOV | CAEN:4661 | 0769668340
278. GARDENTRAC S.R.L. | BRAŞOV | CAEN:4661 | 0742490586
279. AGRIMERT IMPORT S.R.L. | BRAŞOV | CAEN:4661 | 0268252256
280. VANE ŞI ROBINEŢI SRL | BRAŞOV | CAEN:4661 | 0728043475
281. BV AGRI SMART SRL | BRAŞOV | CAEN:4661 | 0722249413
282. ALSER CAPITAL S.R.L. | BRAŞOV | CAEN:4661 | 0756033356
283. AGRO TRAKTORE-F SRL | BRAŞOV | CAEN:4661 | 0748200599
284. VALINST AGRICULTURE SRL | BRAŞOV | CAEN:4661 | 
285. AGROSIDOM SRL | BRAŞOV | CAEN:4661 | 0749101600
286. ANDARTA PEONY S.R.L. | BRAŞOV | CAEN:4661 | 0368411990
287. CARLOS TRACTORS SRL | BRAŞOV | CAEN:4661 | 0744591345
288. IAMBOR ZSOLT ÎNTREPRINDERE INDIVIDUALĂ | BRAŞOV | CAEN:4661 | 0754678705
289. AGRIVLOM SRL | BRAŞOV | CAEN:4661 | 0742965301
290. UTIL FARMING SRL | BRAŞOV | CAEN:4661 | 0740178546
291. NOBAU COM 2016 SRL | BRAŞOV | CAEN:4661 | 0762620233
292. BIGBOG SRL | BRAŞOV | CAEN:4661 | 0740951435
293. CINCANA ANG S.R.L. | BRAŞOV | CAEN:4661 | 
294. MASTERAGRI HV S.R.L. | BRAŞOV | CAEN:4661 | 0740629552
295. VILISA TRANSAGRO S.R.L. | BRAŞOV | CAEN:4661 | 0762307227
296. LIDER AGROTECH S.R.L. | BRAŞOV | CAEN:4661 | 0751200511
297. PROAGRO DIVIZIA IMPLEMENTE S.R.L. | BRAŞOV | CAEN:4661 | 0746614240
298. RIFESPOR S.R.L. | BRAŞOV | CAEN:4661 | 0770244339
299. DIGITAL RAST S.R.L. | BRAŞOV | CAEN:4661 | 
300. CORMANA MACHINERY S.R.L. | BRAŞOV | CAEN:4661 | 0031621808318
301. KRONGRASS EQUIPMENT S.R.L. | BRAŞOV | CAEN:4661 | 
302. KWK AGRI PARTS S.R.L. | BRAŞOV | CAEN:4661 | 0740162422
303. EURO BUCKETS S.R.L. | BRAŞOV | CAEN:4661 | 0727473147
304. EURO TOCATOR S.R.L. | BRAŞOV | CAEN:4661 | 
305. DRONE BOX S.R.L. | BRAŞOV | CAEN:4661 | 
306. LORACSA S.R.L. | BRAŞOV | CAEN:4661 | 0741536723
307. KONIGIN APIS 2025 S.R.L. | BRAŞOV | CAEN:4661 | 0744850018
